X [ m ], Y [ m ], Z [ m ]
0.0276424214,-0.0271764677,-0.482475817
0.0278450754,-0.0273404624,-0.482466072
0.0280850697,-0.0275196172,-0.482468963
0.0283260942,-0.0276788045,-0.48248443
0.0286102761,-0.0278439634,-0.482511461
0.0289213546,-0.0280016847,-0.482546926
0.0291917194,-0.0281245131,-0.482581824
0.0294723455,-0.0282411221,-0.482622683
0.029657349,-0.0283098649,-0.482653379
0.0299536064,-0.0284067374,-0.482707977
0.0302738771,-0.0284950025,-0.482771933
0.0306054559,-0.0285720918,-0.482842475
0.0308618695,-0.0286286306,-0.482898146
0.0183597393,-0.0177511945,-0.481541604
0.01851351,-0.0177473966,-0.481575876
0.0188207105,-0.0177408643,-0.481638193
0.0191578455,-0.017734915,-0.481699377
0.0194937456,-0.0177301876,-0.481757969
0.0198303163,-0.017726969,-0.481817007
0.0201676693,-0.0177261047,-0.481877476
0.020506369,-0.0177287422,-0.481939465
0.0208452344,-0.017735891,-0.482001871
0.0211833306,-0.0177485347,-0.482063472
0.0215225462,-0.0177677758,-0.482123852
0.0218601637,-0.0177947525,-0.482182413
0.0221986175,-0.0178310443,-0.48224026
0.0225350969,-0.0178778395,-0.482297987
0.0228704251,-0.0179368984,-0.482356966
0.0232033916,-0.0180096384,-0.482418299
0.0235328246,-0.0180973914,-0.482482791
0.0238575116,-0.0182010252,-0.482550591
0.0241757855,-0.0183209386,-0.482621193
0.0244869702,-0.0184573568,-0.482694447
0.0247887131,-0.0186096858,-0.482770681
0.0250818748,-0.0187781937,-0.482850939
0.025364466,-0.0189608447,-0.482935309
0.0256375335,-0.0191567559,-0.483024478
0.0258999113,-0.0193630848,-0.483118296
0.0261532869,-0.0195783842,-0.48321721
0.0263986569,-0.0198008884,-0.483320981
0.0266364273,-0.0200288091,-0.483428746
0.0268674139,-0.0202615205,-0.483539909
0.0270914901,-0.0204978157,-0.483654171
0.0273105614,-0.0207385756,-0.483772486
0.0275238957,-0.0209820326,-0.483894736
0.0277321581,-0.0212272741,-0.484021217
0.0279371049,-0.0214754958,-0.484152168
0.0281368252,-0.0217259135,-0.484285891
0.0283312816,-0.0219800454,-0.484420717
0.0285208914,-0.0222404059,-0.484553039
0.0287039876,-0.0225071646,-0.484675646
0.0288812146,-0.0227819122,-0.484781206
0.0290543996,-0.0230656676,-0.484863073
0.0292232204,-0.0233558454,-0.484916955
0.02938677,-0.0236496329,-0.484943807
0.0295448527,-0.0239497889,-0.484949559
0.0296936482,-0.0242539458,-0.484942496
0.0298316479,-0.0245604571,-0.484931767
0.0299579874,-0.0248673987,-0.484923363
0.0300753973,-0.0251772497,-0.484921157
0.0301876888,-0.0254879687,-0.484925151
0.0303002559,-0.0257966444,-0.484924376
0.0304225869,-0.026088804,-0.484895319
0.0305103846,-0.026253622,-0.484849691
0.0305650756,-0.0263359882,-0.48481071
0.0306759998,-0.0264612436,-0.484707713
0.0307881963,-0.0265320186,-0.484577596
0.030836612,-0.026545072,-0.484516621
0.0309321228,-0.0265402216,-0.484390497
0.031012699,-0.0265042465,-0.484286636
0.0310675073,-0.0264644772,-0.484221309
0.0311577357,-0.0263745375,-0.484127283
0.0312120337,-0.0263097771,-0.484082699
0.0313187949,-0.0261665396,-0.48402226
0.0314383246,-0.0260017365,-0.483998716
0.031580843,-0.0258219186,-0.484018415
0.0317455344,-0.025654221,-0.484078795
0.0319091119,-0.0255312789,-0.4841519
0.0321292505,-0.0254195631,-0.484244764
0.0323752388,-0.0253407564,-0.484321773
0.0326826237,-0.025276335,-0.484373599
0.0329525508,-0.0252315253,-0.484380692
0.0332238823,-0.0251854379,-0.484358013
0.0335478634,-0.0251184311,-0.484293967
0.0338635445,-0.0250299703,-0.484195143
0.0341630727,-0.0249150544,-0.484069973
0.0344447345,-0.0247699283,-0.483927518
0.0347082913,-0.0245950557,-0.483775824
0.0349526778,-0.0243947562,-0.483621746
0.0351813398,-0.0241734833,-0.483466655
0.0353958197,-0.0239371005,-0.483312339
0.0355978236,-0.0236886311,-0.483158082
0.0357883051,-0.0234269798,-0.483001292
0.0359682627,-0.023151122,-0.482840627
0.0361371264,-0.0228652563,-0.482675612
0.0362935774,-0.0225722976,-0.482500553
0.0364382602,-0.0222721696,-0.4823066
0.0365764312,-0.0219752342,-0.482101977
0.0367030576,-0.0217201356,-0.481920868
0.0368534736,-0.0214505866,-0.481720537
0.0370051526,-0.0212003924,-0.481526107
0.0371483974,-0.0209687483,-0.48134315
0.0373003483,-0.0207234118,-0.481148928
0.0184039492,-0.0176617783,-0.481337816
0.0186680574,-0.0176569354,-0.481391191
0.0189280808,-0.0176532567,-0.48143208
0.0192194991,-0.0176500473,-0.481471777
0.0196062569,-0.0176465958,-0.481525093
0.0199257582,-0.0176455043,-0.481571704
0.0202549435,-0.0176494941,-0.481623769
0.0205811393,-0.0176602975,-0.481679052
0.0209108442,-0.0176791679,-0.481736451
0.0212682281,-0.0177098513,-0.481797487
