

X [ m ], Y [ m ], Z [ m ]
3.18826479e-03, 5.22594340e-03, -5.25134623e-01
3.09759798e-03, 5.12861833e-03, -5.25044441e-01
1.26947358e-03, 9.36240517e-03, -5.29008269e-01
1.40171277e-03, 9.29069519e-03, -5.29088318e-01
1.31743867e-03, 9.21583548e-03, -5.28968036e-01
1.15021504e-03, 9.45072901e-03, -5.28929591e-01
1.19466474e-03, 9.29337554e-03, -5.28895378e-01
1.45561295e-03, 9.75953881e-03, -5.29388964e-01
1.41694944e-03, 9.91747621e-03, -5.29415846e-01
1.53670507e-03, 9.84921958e-03, -5.29493153e-01
1.66092417e-03, 9.78308544e-03, -5.29562533e-01
1.57740572e-03, 9.69736651e-03, -5.29460549e-01
4.53084148e-03, 1.00233434e-02, -5.29515505e-01
4.37509455e-03, 9.92482062e-03, -5.29590487e-01
4.41483641e-03, 1.00271963e-02, -5.29671371e-01
4.32888232e-03, 9.98128671e-03, -5.29707730e-01
4.21015825e-03, 9.94332135e-03, -5.29780805e-01
4.06908616e-03, 9.88991372e-03, -5.29840350e-01
4.15155711e-03, 1.00482143e-02, -5.29933572e-01
4.29162337e-03, 1.00410227e-02, -5.29814899e-01
2.31142971e-03, 7.54865445e-03, -5.28345048e-01
2.25053797e-03, 7.47911446e-03, -5.28234184e-01
2.17503752e-03, 7.57943373e-03, -5.28313339e-01
2.22740602e-03, 7.65450066e-03, -5.28421283e-01
2.37625395e-03, 7.62476493e-03, -5.28463542e-01
5.39157214e-03, 1.13904588e-02, -5.22622347e-01
5.47739770e-03, 1.14132734e-02, -5.22728801e-01
5.38186403e-03, 1.15275765e-02, -5.22731185e-01
5.58203273e-03, 1.13606295e-02, -5.22816181e-01
2.67885649e-03, 1.22126089e-02, -5.23696244e-01
2.62987334e-03, 1.22764921e-02, -5.23803294e-01
2.56074220e-03, 1.21708019e-02, -5.23732007e-01
2.74426141e-03, 1.21436855e-02, -5.23564935e-01
2.59199040e-03, 1.20917382e-02, -5.23628950e-01
6.26238249e-03, 1.18001830e-02, -5.30207872e-01
6.29552919e-03, 1.18112089e-02, -5.30017972e-01
6.19115913e-03, 1.17105367e-02, -5.30087769e-01
6.16505137e-03, 1.17147099e-02, -5.30251205e-01
6.23786682e-03, 1.18006878e-02, -5.30342162e-01
3.69860535e-03, 1.02212206e-02, -5.30253112e-01
3.86207714e-03, 1.02513116e-02, -5.30234039e-01
3.79047194e-03, 1.01296082e-02, -5.30175686e-01
3.73050221e-03, 1.00042177e-02, -5.30112326e-01
3.63419275e-03, 1.00927213e-02, -5.30196667e-01
4.19192016e-03, 1.43145910e-02, -5.29747784e-01
4.30044765e-03, 1.44025581e-02, -5.29673874e-01
4.28438839e-03, 1.44113097e-02, -5.29837072e-01
4.18676389e-03, 1.43174967e-02, -5.29916286e-01
4.09381092e-03, 1.42185241e-02, -5.29824317e-01
4.72658221e-03, 1.46178445e-02, -5.29334247e-01
4.58577601e-03, 1.45360893e-02, -5.29374659e-01
4.66171140e-03, 1.44940158e-02, -5.29201090e-01
1.92962133e-03, 1.29985018e-02, -5.25218964e-01
1.79086730e-03, 1.29444459e-02, -5.25278747e-01
1.84249179e-03, 1.28951874e-02, -5.25127053e-01
1.90232007e-03, 1.28308777e-02, -5.24981737e-01
1.98723515e-03, 1.29367607e-02, -5.25071025e-01
1.44366990e-03, 1.27143925e-02, -5.25316715e-01
1.48525438e-03, 1.26660885e-02, -5.25160015e-01
1.57212792e-03, 1.27781285e-02, -5.25248647e-01
1.52872934e-03, 1.28160436e-02, -5.25410473e-01
1.40730932e-03, 1.27497073e-02, -5.25478005e-01
4.72969841e-03, 8.27869587e-03, -5.27949631e-01
4.66661341e-03, 8.37490521e-03, -5.28093755e-01
4.82750870e-03, 8.48837849e-03, -5.27984977e-01
4.76373825e-03, 8.17886461e-03, -5.27821064e-01
4.86102747e-03, 8.34157597e-03, -5.27834475e-01
5.04917838e-03, 9.92720760e-03, -5.22477686e-01
5.03075495e-03, 1.00503042e-02, -5.22392571e-01
4.89892950e-03, 9.96818393e-03, -5.22378027e-01
5.06776758e-03, 9.80931520e-03, -5.22563934e-01
4.93902853e-03, 9.81616508e-03, -5.22485852e-01
5.46590425e-03, 9.81315598e-03, -5.22894919e-01
5.33971936e-03, 9.74322390e-03, -5.22825718e-01
5.40902652e-03, 9.67639964e-03, -5.22954762e-01
5.21377753e-03, 9.67430230e-03, -5.22761643e-01
5.28770080e-03, 9.60405450e-03, -5.22885501e-01
2.07464863e-03, 1.24278637e-02, -5.24343550e-01
2.17523868e-03, 1.23829935e-02, -5.24222434e-01
2.27068784e-03, 1.25018843e-02, -5.24302125e-01
2.33092392e-03, 1.23842638e-02, -5.24120867e-01
2.15675845e-03, 1.22633558e-02, -5.24095416e-01
5.77378145e-04, 4.48141247e-03, -5.23918211e-01
6.10812567e-04, 4.56658052e-03, -5.24048328e-01
6.80659083e-04, 4.43988433e-03, -5.24016678e-01
8.79363215e-04, 4.45002317e-03, -5.24236023e-01
8.05506657e-04, 4.56333673e-03, -5.24276614e-01
9.35039599e-04, 4.51835245e-03, -5.24348795e-01
1.06828311e-03, 4.48468514e-03, -5.24407864e-01
1.02628488e-03, 4.40313434e-03, -5.24306595e-01
6.86186017e-04, 7.36150471e-03, -5.22454858e-01
6.34895056e-04, 7.21365213e-03, -5.22409201e-01
