X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ], Velocity [ m s^-1 ]
2.72742547e-02, -2.43704990e-02, -4.88250464e-01, 1.24519836e+02, 0.00000000e+00
2.72762403e-02, -2.41229180e-02, -4.88278180e-01, 1.25201439e+02, 0.00000000e+00
2.73397900e-02, -2.38147732e-02, -4.88156885e-01, 1.25456825e+02, 0.00000000e+00
2.73150951e-02, -2.39810497e-02, -4.88125086e-01, 1.24996483e+02, 0.00000000e+00
2.73310971e-02, -2.37518400e-02, -4.88460749e-01, 1.26587029e+02, 0.00000000e+00
2.73128357e-02, -2.43619420e-02, -4.88034219e-01, 1.23850174e+02, 0.00000000e+00
2.73076743e-02, -2.41897348e-02, -4.88062590e-01, 1.24306686e+02, 0.00000000e+00
2.73455735e-02, -2.43074950e-02, -4.87911314e-01, 1.23457397e+02, 0.00000000e+00
2.73596700e-02, -2.40162835e-02, -4.87929314e-01, 1.24157204e+02, 0.00000000e+00
2.73124613e-02, -2.45083533e-02, -4.88085568e-01, 1.23645119e+02, 0.00000000e+00
2.72855628e-02, -2.45685317e-02, -4.88400072e-01, 1.24463486e+02, 0.00000000e+00
2.77736522e-02, -2.29003765e-02, -4.88001049e-01, 1.25737061e+02, 0.00000000e+00
2.78011933e-02, -2.29273923e-02, -4.87826616e-01, 1.24843109e+02, 0.00000000e+00
2.78732534e-02, -2.28054710e-02, -4.87892896e-01, 1.25117035e+02, 0.00000000e+00
2.78312974e-02, -2.29608305e-02, -4.87660080e-01, 1.23821877e+02, 0.00000000e+00
2.77347974e-02, -2.30557323e-02, -4.87762481e-01, 1.24512596e+02, 0.00000000e+00
2.76861135e-02, -2.29967628e-02, -4.88100469e-01, 1.26190865e+02, 0.00000000e+00
2.77613513e-02, -2.28769500e-02, -4.88180071e-01, 1.26510841e+02, 0.00000000e+00
2.76438743e-02, -2.31556222e-02, -4.87864405e-01, 1.25052910e+02, 0.00000000e+00
2.76753772e-02, -2.31917351e-02, -4.87700343e-01, 1.24151550e+02, 0.00000000e+00
2.75910739e-02, -2.32894793e-02, -4.87807810e-01, 1.24672432e+02, 0.00000000e+00
2.75646932e-02, -2.32575163e-02, -4.87974107e-01, 1.25474495e+02, 0.00000000e+00
2.76221596e-02, -2.31209733e-02, -4.88032103e-01, 1.25848366e+02, 0.00000000e+00
2.77685672e-02, -2.30912343e-02, -4.87598658e-01, 1.23500275e+02, 0.00000000e+00
2.78811585e-02, -2.44970433e-02, -4.86916095e-01, 1.17220818e+02, 0.00000000e+00
2.78035495e-02, -2.43884865e-02, -4.87021774e-01, 1.18204491e+02, 0.00000000e+00
2.78178677e-02, -2.45620701e-02, -4.87046987e-01, 1.18154732e+02, 0.00000000e+00
2.77271308e-02, -2.42758710e-02, -4.87124294e-01, 1.19165230e+02, 0.00000000e+00
2.77997851e-02, -2.42148712e-02, -4.86997008e-01, 1.18259682e+02, 0.00000000e+00
2.78414208e-02, -2.47405712e-02, -4.87079918e-01, 1.18163239e+02, 0.00000000e+00
2.77519003e-02, -2.46272981e-02, -4.87178147e-01, 1.18975616e+02, 0.00000000e+00
2.76536383e-02, -2.43332963e-02, -4.87255096e-01, 1.19980316e+02, 0.00000000e+00
2.76622269e-02, -2.41309572e-02, -4.87223238e-01, 1.20087242e+02, 0.00000000e+00
2.76846141e-02, -2.46887412e-02, -4.87311482e-01, 1.19736687e+02, 0.00000000e+00
2.76635755e-02, -2.45150756e-02, -4.87281173e-01, 1.19865471e+02, 0.00000000e+00
2.77892239e-02, -2.48261038e-02, -4.87207741e-01, 1.18902710e+02, 0.00000000e+00
2.75968835e-02, -2.45774779e-02, -4.87409949e-01, 1.20597626e+02, 0.00000000e+00
2.75832694e-02, -2.44001281e-02, -4.87385690e-01, 1.20737373e+02, 0.00000000e+00
2.80288663e-02, -2.49373429e-02, -4.86859947e-01, 1.16742973e+02, 0.00000000e+00
2.79873125e-02, -2.47806814e-02, -4.86835301e-01, 1.16536797e+02, 0.00000000e+00
2.79370714e-02, -2.48380546e-02, -4.86969411e-01, 1.17414162e+02, 0.00000000e+00
2.79564559e-02, -2.46065706e-02, -4.86803710e-01, 1.16335876e+02, 0.00000000e+00
2.80217212e-02, -2.47202963e-02, -4.86695617e-01, 1.15569221e+02, 0.00000000e+00
2.81097237e-02, -2.50339936e-02, -4.86756921e-01, 1.16175255e+02, 0.00000000e+00
2.80838124e-02, -2.50986293e-02, -4.86885756e-01, 1.16925842e+02, 0.00000000e+00
2.79907398e-02, -2.49955952e-02, -4.86979246e-01, 1.17468079e+02, 0.00000000e+00
2.80325040e-02, -2.46516913e-02, -4.86566573e-01, 1.14753334e+02, 0.00000000e+00
2.80750133e-02, -2.48071980e-02, -4.86544609e-01, 1.14726997e+02, 0.00000000e+00
2.79917493e-02, -2.45424267e-02, -4.86670792e-01, 1.15353386e+02, 0.00000000e+00
2.81888824e-02, -2.51396578e-02, -4.86645222e-01, 1.15707848e+02, 0.00000000e+00
2.81343013e-02, -2.50037462e-02, -4.86617625e-01, 1.15281044e+02, 0.00000000e+00
2.81294603e-02, -2.49611083e-02, -4.86457855e-01, 1.14374977e+02, 0.00000000e+00
2.81896312e-02, -2.51049735e-02, -4.86455023e-01, 1.14600113e+02, 0.00000000e+00
2.76431032e-02, -2.40557268e-02, -4.84388798e-01, 1.04562325e+02, 0.00000000e+00
2.74770856e-02, -2.40883473e-02, -4.84422863e-01, 1.04147011e+02, 0.00000000e+00
2.75431499e-02, -2.41285358e-02, -4.84271437e-01, 1.03205750e+02, 0.00000000e+00
2.73639411e-02, -2.41486840e-02, -4.84295458e-01, 1.03132118e+02, 0.00000000e+00
2.74288915e-02, -2.40540244e-02, -4.84581858e-01, 1.05067528e+02, 0.00000000e+00
2.75793876e-02, -2.40052640e-02, -4.84531611e-01, 1.05307091e+02, 0.00000000e+00
2.74420641e-02, -2.41840761e-02, -4.84120488e-01, 1.02159943e+02, 0.00000000e+00
2.72127874e-02, -2.41921823e-02, -4.84133631e-01, 1.02585091e+02, 0.00000000e+00
2.71820035e-02, -2.41731815e-02, -4.84344214e-01, 1.03593628e+02, 0.00000000e+00
2.72860862e-02, -2.41105016e-02, -4.84638393e-01, 1.05123344e+02, 0.00000000e+00
2.73994412e-02, -2.40339246e-02, -4.84745890e-01, 1.05842339e+02, 0.00000000e+00
2.71589551e-02, -2.41673831e-02, -4.84529972e-01, 1.04522041e+02, 0.00000000e+00
2.71450821e-02, -2.41744034e-02, -4.84695137e-01, 1.05349831e+02, 0.00000000e+00
2.70262342e-02, -2.42220927e-02, -4.84606564e-01, 1.05024055e+02, 0.00000000e+00
2.70237885e-02, -2.42109261e-02, -4.84432340e-01, 1.04277161e+02, 0.00000000e+00
2.73882449e-02, -2.40272414e-02, -4.84918028e-01, 1.06528954e+02, 0.00000000e+00
2.73955055e-02, -2.40364764e-02, -4.85082358e-01, 1.07120110e+02, 0.00000000e+00
2.72888299e-02, -2.41118837e-02, -4.84998167e-01, 1.06716835e+02, 0.00000000e+00
2.74163578e-02, -2.40671728e-02, -4.85241979e-01, 1.07670937e+02, 0.00000000e+00
2.74975002e-02, -2.39380170e-02, -4.85168815e-01, 1.07644035e+02, 0.00000000e+00
2.71763466e-02, -2.41864771e-02, -4.84949172e-01, 1.06460167e+02, 0.00000000e+00
2.72039957e-02, -2.41998956e-02, -4.85059112e-01, 1.06931618e+02, 0.00000000e+00
2.76755318e-02, -2.29741894e-02, -4.88457710e-01, 1.27686638e+02, 0.00000000e+00
2.76100338e-02, -2.30826605e-02, -4.88538772e-01, 1.27932426e+02, 0.00000000e+00
2.76159998e-02, -2.30752099e-02, -4.88363624e-01, 1.27185005e+02, 0.00000000e+00
2.75432058e-02, -2.32158452e-02, -4.88595366e-01, 1.27993538e+02, 0.00000000e+00
2.76000649e-02, -2.31020786e-02, -4.88710195e-01, 1.28679977e+02, 0.00000000e+00
2.77151670e-02, -2.28966717e-02, -4.88893181e-01, 1.29711487e+02, 0.00000000e+00
2.76603308e-02, -2.29916461e-02, -4.88818139e-01, 1.29268143e+02, 0.00000000e+00
2.77409349e-02, -2.28649639e-02, -4.88747001e-01, 1.29154343e+02, 0.00000000e+00
2.75941510e-02, -2.31257677e-02, -4.88907278e-01, 1.29374939e+02, 0.00000000e+00
2.77491920e-02, -2.28626095e-02, -4.88567948e-01, 1.28277267e+02, 0.00000000e+00
2.78446637e-02, -2.27273609e-02, -4.88679767e-01, 1.28955475e+02, 0.00000000e+00
2.77545415e-02, -2.28676237e-02, -4.88357276e-01, 1.27321991e+02, 0.00000000e+00
2.74363607e-02, -2.34396514e-02, -4.88368899e-01, 1.26743568e+02, 0.00000000e+00
2.74297968e-02, -2.34766193e-02, -4.88220364e-01, 1.26182014e+02, 0.00000000e+00
2.74850298e-02, -2.33375486e-02, -4.88268018e-01, 1.26523705e+02, 0.00000000e+00
2.73812413e-02, -2.36319732e-02, -4.88177001e-01, 1.25840515e+02, 0.00000000e+00
2.73762662e-02, -2.35965811e-02, -4.88372028e-01, 1.26557793e+02, 0.00000000e+00
2.74911597e-02, -2.33695842e-02, -4.88092124e-01, 1.25848717e+02, 0.00000000e+00
2.74413731e-02, -2.35141926e-02, -4.88039345e-01, 1.25468079e+02, 0.00000000e+00
2.74987407e-02, -2.33036410e-02, -4.88438934e-01, 1.27218452e+02, 0.00000000e+00
2.74263453e-02, -2.34710015e-02, -4.88513261e-01, 1.27227989e+02, 0.00000000e+00
2.77251396e-02, -2.54471246e-02, -4.88451183e-01, 1.22383888e+02, 0.00000000e+00
2.76597384e-02, -2.53703538e-02, -4.88532066e-01, 1.22851563e+02, 0.00000000e+00
2.77360715e-02, -2.54545826e-02, -4.88610238e-01, 1.22881775e+02, 0.00000000e+00
2.76349690e-02, -2.53383238e-02, -4.88398224e-01, 1.22488853e+02, 0.00000000e+00
2.75698043e-02, -2.52458248e-02, -4.88529772e-01, 1.23164757e+02, 0.00000000e+00
2.76387054e-02, -2.53294799e-02, -4.88669962e-01, 1.23349030e+02, 0.00000000e+00
2.88824383e-02, -2.46239100e-02, -4.90671545e-01, 1.27464104e+02, 0.00000000e+00
2.88010649e-02, -2.47277245e-02, -4.90545869e-01, 1.27444946e+02, 0.00000000e+00
2.87464466e-02, -2.45866012e-02, -4.90590900e-01, 1.27621216e+02, 0.00000000e+00
2.89381240e-02, -2.47818809e-02, -4.90615696e-01, 1.27377747e+02, 0.00000000e+00
2.79639009e-02, -2.53961086e-02, -4.87437129e-01, 1.19057983e+02, 0.00000000e+00
