
[Name]
Streamline 1

[Data]
X [ m ], Y [ m ], Z [ m ]
1.06943315e-02, 1.87600721e-02, -5.32914162e-01
1.06130969e-02, 1.86067633e-02, -5.33496678e-01
1.00681577e-02, 1.96569897e-02, -5.32447696e-01
9.80209652e-03, 1.98286157e-02, -5.32748759e-01
9.70391836e-03, 1.98965184e-02, -5.32849073e-01
9.97505710e-03, 1.96861811e-02, -5.32626688e-01
1.06191877e-02, 1.88756976e-02, -5.32839179e-01
1.04188845e-02, 1.91701204e-02, -5.32672048e-01
1.03157163e-02, 1.93059761e-02, -5.32623649e-01
1.02371676e-02, 1.93697307e-02, -5.32681346e-01
1.01644993e-02, 1.94824655e-02, -5.32606542e-01
1.04077542e-02, 1.91074368e-02, -5.32851338e-01
9.75907687e-03, 1.88281108e-02, -5.35249650e-01
9.87357832e-03, 1.86791345e-02, -5.35299182e-01
1.00418972e-02, 1.84902847e-02, -5.35300016e-01
1.01914834e-02, 1.83252487e-02, -5.35294175e-01
1.03000756e-02, 1.82235315e-02, -5.35246730e-01
1.04273288e-02, 1.80977378e-02, -5.35206854e-01
1.05821760e-02, 1.79550890e-02, -5.35133421e-01
1.06496755e-02, 1.78698860e-02, -5.35156369e-01
1.07447961e-02, 1.78169999e-02, -5.35028458e-01
1.07945763e-02, 1.78001095e-02, -5.34935772e-01
1.08819408e-02, 1.77545138e-02, -5.34811199e-01
1.09851314e-02, 1.76742505e-02, -5.34727097e-01
1.09121427e-02, 1.79698803e-02, -5.34216881e-01
1.09772608e-02, 1.78456064e-02, -5.34339368e-01
1.08329542e-02, 1.80563983e-02, -5.34222007e-01
1.10432226e-02, 1.76511817e-02, -5.34626961e-01
1.09706596e-02, 1.77635364e-02, -5.34552753e-01
1.07614044e-02, 1.82570945e-02, -5.33934593e-01
1.07573336e-02, 1.81723461e-02, -5.34147441e-01
1.07154045e-02, 1.83501784e-02, -5.33835530e-01
1.06576132e-02, 1.84593648e-02, -5.33729434e-01
1.05430428e-02, 1.86122637e-02, -5.33670664e-01
1.05680376e-02, 1.86992660e-02, -5.33396542e-01
1.06001068e-02, 1.87302083e-02, -5.33237100e-01
1.06022805e-02, 1.87840238e-02, -5.33102930e-01
1.05866492e-02, 1.88446678e-02, -5.33000052e-01
1.05163231e-02, 1.86995137e-02, -5.33534110e-01
1.00720553e-02, 1.96038838e-02, -5.32563865e-01
9.89894848e-03, 1.97041277e-02, -5.32786965e-01
9.78757348e-03, 1.97953377e-02, -5.32866836e-01
9.70066898e-03, 1.98396035e-02, -5.32993436e-01
9.57989320e-03, 1.99202709e-02, -5.33123672e-01
1.00770611e-02, 1.95519272e-02, -5.32674313e-01
1.05116330e-02, 1.89601015e-02, -5.32925189e-01
1.03327492e-02, 1.92227904e-02, -5.32776535e-01
