[Data],,
X [ m ], Y [ m ], Z [ m ]
0.0337780751 ,-0.0168592948 ,-0.4835689370 
0.0336558223 ,-0.0167822205 ,-0.4836346810 
0.0336161256 ,-0.0168252308 ,-0.4837878050 
0.0354737639 ,-0.0167984329 ,-0.4846423860 
0.0354375355 ,-0.0167590436 ,-0.4847964940 
0.0355369672 ,-0.0166577194 ,-0.4847082200 
0.0355087817 ,-0.0168372504 ,-0.4844895010 
0.0355777927 ,-0.0167022534 ,-0.4845572110 
0.0344542749 ,-0.0171572901 ,-0.4858261940 
0.0343515389 ,-0.0172018856 ,-0.4857079980 
0.0342763960 ,-0.0171987396 ,-0.4858255090 
0.0341841653 ,-0.0171861071 ,-0.4859925210 
0.0343366191 ,-0.0171632450 ,-0.4859550600 
0.0343444720 ,-0.0172186829 ,-0.4855645600 
0.0344869159 ,-0.0171822906 ,-0.4856458310 
0.0344863273 ,-0.0172032900 ,-0.4854608180 
0.0344333909 ,-0.0169244763 ,-0.4864799680 
0.0345606990 ,-0.0168551728 ,-0.4864200060 
0.0344861113 ,-0.0169709399 ,-0.4863382280 
0.0343057774 ,-0.0169871505 ,-0.4865421060 
0.0343567617 ,-0.0170242675 ,-0.4863969090 
0.0349770412 ,-0.0169036202 ,-0.4856685100 
0.0350561142 ,-0.0167730525 ,-0.4857490960 
0.0350900777 ,-0.0168128517 ,-0.4855891760 
0.0351210386 ,-0.0168451592 ,-0.4854311650 
0.0350072607 ,-0.0169343203 ,-0.4855054320 
0.0352419429 ,-0.0153901540 ,-0.4849952160 
0.0352767669 ,-0.0153516103 ,-0.4848415260 
0.0353560038 ,-0.0154756503 ,-0.4849158530 
0.0353137702 ,-0.0153163010 ,-0.4846864040 
0.0353944562 ,-0.0154371224 ,-0.4847665430 
0.0359427333 ,-0.0153101413 ,-0.4835686680 
0.0358127393 ,-0.0152266463 ,-0.4836588800 
0.0358614028 ,-0.0151799051 ,-0.4835089450 
0.0359079540 ,-0.0151335187 ,-0.4833569820 
0.0359850936 ,-0.0152500020 ,-0.4834190010 
0.0362375453 ,-0.0155526139 ,-0.4833676520 
0.0362004228 ,-0.0156119829 ,-0.4834741950 
0.0361578614 ,-0.0154879205 ,-0.4834281500 
